min_payment_within_5_years_of_chargeoff_predicted,obj1_predicted_proba,region,working_age,purchasegroup,chargeoffamt,chargeoffamt_present,judgment_active,acct_post_judgment,judgment_amount,judgment_amount_present,days_between_chargeoff_and_judgment,agency_ever,legal_ever,wage_garnishable_state,bank_account_found,FT_job_found,PT_job_found,verification_completed,contains_judgment_image
1,0.6295406529903411,northeast,1,Suit,6200.63,1,0,0,,0,,1,1,1,0,0,0,0,0
1,0.6151250761349996,southeast,1,Suit,9137.76,1,0,0,,0,,1,1,1,0,1,0,0,0
1,0.6269479109446208,southwest,1,Suit,16021.22,1,0,0,,0,,1,1,1,0,0,0,0,0
1,0.7402922954559326,northeast,1,Suit,10145.28,1,0,0,,0,,1,1,1,0,0,0,0,0
1,0.6885923391977946,midwest,1,Suit,8640.39,1,0,0,,0,1202.0,1,1,1,0,0,0,0,0
1,0.6214685373306273,southeast,1,Suit,7960.42,1,0,0,,0,,1,1,1,0,0,0,0,0
1,0.5995679481029509,midwest,1,Suit,5595.45,1,0,0,,0,1058.0,1,1,1,0,0,0,0,0
1,0.7622764733632407,southeast,1,Suit,11174.53,1,0,0,,0,,1,1,1,0,0,0,0,0
1,0.7246478935082753,southeast,1,Suit,16983.17,1,0,0,,0,,1,1,1,0,1,0,0,0
1,0.6616468621889751,southwest,1,Suit,13007.03,1,0,0,,0,,1,1,1,0,0,0,0,0
1,0.7879468399683633,southeast,0,Suit,13583.89,1,0,0,,0,,1,1,1,0,0,0,0,0
1,0.6283035359382629,northeast,0,Suit,6012.13,1,0,0,,0,1119.0,1,1,1,0,0,0,0,0
1,0.6019086886246999,west,1,Suit,16854.86,1,0,1,,0,,1,1,1,0,0,0,0,0
1,0.7012827630837759,midwest,1,Suit,14583.17,1,1,1,12809.61,1,1020.0,1,1,1,0,1,0,1,1
1,0.6364809277852377,southeast,1,Suit,21139.18,1,0,0,,0,,1,1,1,0,0,0,0,0
0,0.4092796716690063,west,1,Suit,8677.75,1,0,0,,0,,1,1,1,0,0,0,0,0
1,0.6987780058383942,midwest,1,Suit,17401.57,1,0,0,,0,1290.0,1,1,1,0,0,0,0,0
1,0.738600430806478,northeast,1,Suit,17513.74,1,0,0,,0,,1,1,1,0,0,0,0,0
1,0.7449687408606211,midwest,1,Suit,21302.0,1,0,0,,0,,1,1,1,0,0,0,0,0
1,0.6440400926272075,midwest,1,Suit,8483.41,1,1,1,6916.9,1,1164.0,1,1,1,0,0,0,1,1
1,0.6422863608996073,southwest,1,Suit,20911.78,1,1,1,19411.29,1,1042.0,1,1,1,0,1,0,0,1
1,0.6279832040468851,midwest,1,Suit,9567.77,1,1,1,6354.27,1,1072.0,1,1,1,1,1,0,1,1
0,0.42937924639383945,southeast,1,Suit,5542.55,1,0,0,,0,1313.0,1,1,1,0,0,0,0,0
0,0.43968306819597885,southeast,1,Suit,5956.31,1,0,0,,0,,1,1,1,0,0,0,0,0
1,0.6245594067573547,midwest,1,Suit,8818.03,1,1,1,7171.86,1,1041.0,1,1,1,0,1,0,1,1
1,0.7061788085301718,midwest,1,Suit,8111.67,1,1,1,6559.95,1,1014.0,1,1,1,0,0,0,1,1
1,0.6783836757739384,midwest,1,Suit,16082.42,1,0,0,,0,,1,0,1,0,0,0,0,0
1,0.7782844438552856,southeast,1,Suit,14530.04,1,0,0,,0,,1,1,1,0,0,0,0,0
1,0.6448800940513612,southeast,1,Suit,9160.99,1,0,0,,0,,1,1,1,0,0,0,0,0
0,0.4237117303212484,midwest,1,Suit,4033.49,1,1,1,4033.49,1,1155.0,1,1,1,0,0,0,1,1
1,0.767777809937795,southeast,1,Suit,13479.68,1,0,0,,0,,1,1,1,0,0,0,0,0
1,0.7541845050652821,midwest,1,Suit,15959.5,1,0,0,,0,,1,1,1,0,0,0,0,0
1,0.7049756739934285,southeast,1,Suit,10510.12,1,0,0,,0,,1,1,1,0,0,0,0,0
1,0.6767231597900392,midwest,1,Suit,7526.3,1,0,0,,0,,1,1,1,0,0,0,0,0
1,0.7622764733632407,southeast,1,Suit,11249.35,1,0,0,,0,,1,1,1,0,0,0,0,0
1,0.8003522661526997,midwest,1,Suit,19171.34,1,0,0,,0,,1,1,1,0,0,0,0,0
1,0.7710807642936706,southeast,1,Suit,16810.3,1,0,0,,0,,1,1,1,0,0,0,0,0
1,0.6026225053469341,midwest,1,Suit,6104.26,1,0,0,,0,935.0,1,1,1,1,0,0,0,0
1,0.7461834435462951,midwest,1,Suit,13490.54,1,0,0,,0,,1,1,1,0,0,0,0,0
1,0.6925273139476777,southwest,1,Dormant Judgment,14347.59,1,1,1,17823.59,1,182.0,0,1,1,0,1,0,1,1
1,0.7819075651168824,midwest,1,Suit,12289.68,1,0,0,,0,,1,1,1,0,0,0,0,0
1,0.5100004625320435,southeast,1,Suit,7911.69,1,1,1,6736.39,1,1045.0,1,1,1,0,0,0,1,1
1,0.7760272609392802,southeast,1,Suit,12357.53,1,0,0,,0,,1,1,1,0,0,0,0,0
1,0.7826724635759988,southeast,1,Suit,11437.75,1,0,0,,0,,1,1,1,0,0,0,0,0
1,0.6487739776770274,midwest,1,Suit,6715.87,1,1,1,3713.99,1,1100.0,1,1,1,0,1,0,1,1
1,0.6357010796864828,southwest,1,Suit,17868.89,1,0,0,,0,,1,1,1,0,0,0,0,0
0,0.4554117226600647,southeast,1,Suit,6574.85,1,0,0,,0,,1,1,1,0,0,0,0,0
1,0.770056703567505,southeast,1,Suit,17401.95,1,0,0,,0,,1,1,1,0,0,0,0,0
0,0.380643836736679,southwest,1,Suit,7421.17,1,1,1,7575.17,1,1071.0,1,1,1,0,0,0,1,1
1,0.7073721621831257,southeast,1,Suit,10405.17,1,0,0,,0,,1,1,1,0,0,0,0,0
1,0.6521153430938722,southwest,1,Suit,12705.96,1,0,0,,0,,1,1,1,0,0,0,0,0
1,0.7381389195124306,southeast,1,Suit,10613.07,1,0,0,,0,,1,1,1,0,0,0,0,0
1,0.63983207710584,midwest,1,Suit,7454.53,1,0,0,,0,1046.0,1,1,1,1,1,0,0,0
1,0.6192696226437886,southeast,1,Suit,8298.57,1,0,0,,0,,1,1,1,0,0,0,0,0
1,0.5463020585378011,southwest,1,Suit,10239.13,1,0,0,,0,,1,1,1,0,0,0,0,0
1,0.5672459316253662,northeast,1,Suit,6665.81,1,0,0,,0,1081.0,1,1,1,0,0,0,0,0
1,0.5594791591962178,midwest,1,Suit,7851.59,1,1,1,7851.59,1,1244.0,1,1,1,0,0,0,1,1
1,0.5717291718324026,southeast,1,Suit,10837.56,1,0,0,10935.06,1,1039.0,1,1,1,0,1,0,1,1
1,0.6567166674931844,southeast,1,Suit,22206.95,1,0,0,,0,,1,1,1,0,0,0,0,0
1,0.7467302893002827,southeast,1,Suit,10756.2,1,0,0,,0,,1,1,1,0,0,0,0,0
1,0.709978411992391,southwest,0,Suit,13068.13,1,1,1,13486.38,1,1034.0,1,1,1,0,0,0,1,1
1,0.7504860167503358,northeast,1,Suit,9249.39,1,0,1,,0,,1,1,1,0,0,0,0,0
1,0.654245641231537,northeast,1,Suit,4605.69,1,0,0,,0,,1,1,1,0,0,0,0,0
1,0.5151238172849019,southwest,1,Suit,8859.98,1,0,0,,0,1076.0,1,1,1,0,0,0,0,0
1,0.7710807642936706,southeast,1,Suit,16923.05,1,0,0,,0,,1,1,1,0,0,0,0,0
0,0.4635995415051778,southwest,1,Suit,10323.75,1,1,1,10195.41,1,1034.0,1,1,1,0,1,0,1,1
1,0.8035418453216552,midwest,1,Suit,30034.36,1,0,1,,0,,1,1,1,0,0,0,0,0
1,0.7724066642125448,southeast,1,Suit,11285.76,1,0,0,,0,,1,1,1,0,0,0,0,0
1,0.5307691822052001,southeast,1,Suit,12545.24,1,1,1,12916.74,1,885.0,1,1,1,0,0,1,1,1
1,0.6596163570086162,southeast,1,Suit,8865.68,1,0,0,,0,,1,1,1,0,0,0,0,0
1,0.6433036162058514,southwest,1,Suit,14912.05,1,0,0,,0,,1,1,1,0,0,0,0,0
1,0.6066340873241424,northeast,1,Suit,6293.88,1,0,0,,0,,1,1,1,0,0,1,0,0
0,0.41082915298144024,southwest,1,Suit,10457.62,1,1,1,7703.38,1,1082.0,1,1,1,0,0,0,1,1
1,0.6421999679406484,midwest,1,Suit,6980.94,1,1,1,5470.17,1,1136.0,1,1,1,0,0,0,1,1
1,0.7019962218602498,southeast,1,Suit,10250.1,1,0,0,,0,,1,1,1,0,0,0,0,0
1,0.6366245521704356,midwest,1,Suit,6271.83,1,1,1,4787.37,1,837.0,1,1,1,0,0,0,1,1
1,0.655472308476766,southwest,1,Suit,28464.79,1,0,1,,0,,1,1,1,0,0,0,0,0
1,0.6124731302261351,southeast,1,Suit,7848.33,1,0,0,,0,,1,1,1,0,0,0,0,0
1,0.782655216693878,southeast,1,Suit,15234.31,1,0,0,,0,,1,1,1,0,0,0,0,0
1,0.6464706813494364,southwest,1,Suit,17683.08,1,1,1,17644.45,1,1095.0,1,1,1,0,1,0,1,1
1,0.558292800505956,northeast,1,Suit,8448.2,1,1,1,7154.66,1,1157.0,1,1,1,0,0,0,1,0
1,0.5681699449221292,southeast,1,Suit,7646.56,1,0,0,,0,,1,1,1,0,0,0,0,0
1,0.721966269493103,southeast,1,Suit,12345.29,1,0,0,,0,1194.0,1,1,1,0,0,0,0,0
1,0.5031729126373927,southeast,1,Suit,10614.19,1,1,1,9342.62,1,1110.0,1,1,1,0,0,0,1,1
1,0.7710807642936706,southeast,1,Suit,16971.27,1,0,0,,0,,1,1,1,0,0,0,0,0
1,0.6141299777030944,southeast,1,Suit,8441.21,1,0,0,,0,,1,1,1,0,0,0,0,0
1,0.770211719195048,southeast,1,Suit,12222.76,1,0,0,,0,,1,1,1,0,0,0,0,0
1,0.770211719195048,southeast,1,Suit,12099.07,1,0,0,,0,,1,1,1,0,0,0,0,0
1,0.6108385688463847,southwest,1,Suit,9845.36,1,0,1,,0,,1,1,1,0,0,0,0,0
1,0.7665389698346455,southeast,1,Suit,19656.87,1,0,0,,0,,1,1,1,0,0,0,0,0
1,0.7041473415692648,southeast,1,Suit,10197.57,1,0,0,,0,,1,1,1,0,0,0,0,0
1,0.6119559279282887,midwest,1,Suit,6253.39,1,0,0,,0,,1,1,1,0,0,0,0,0
1,0.7639632186889649,southeast,1,Suit,16682.23,1,0,0,,0,,1,1,1,0,0,0,0,0
1,0.5121967924435933,southwest,1,Suit,8272.59,1,0,0,,0,,1,1,1,0,0,0,0,0
1,0.6789678351084389,midwest,1,Suit,8020.65,1,1,1,4950.73,1,1053.0,1,1,1,0,1,0,1,1
1,0.7727895169258118,southeast,1,Suit,17933.22,1,0,0,,0,,1,1,1,0,0,0,0,0
0,0.3986110673745473,southeast,1,Dormant Judgment,,0,1,1,4276.54,1,32.0,1,1,1,0,1,0,1,1
0,0.26094289922714237,southeast,1,Dormant Judgment,,0,1,1,2858.26,1,80.0,1,1,1,1,0,0,1,1
0,0.35786216032505036,southeast,1,Dormant Judgment,,0,1,1,2782.35,1,134.0,1,1,1,0,1,0,1,1
0,0.1370931102236112,southeast,1,Dormant Judgment,,0,1,1,2881.26,1,64.0,1,0,1,0,0,0,0,1
1,0.5989347259998322,southwest,1,Suit,11380.81,1,1,1,9945.94,1,1157.0,1,1,1,0,0,0,1,1
1,0.7652965520222983,southeast,1,Suit,16438.99,1,0,0,,0,,1,1,1,0,0,0,0,0
1,0.6197595701217652,southeast,1,Suit,8081.21,1,0,0,,0,,1,1,1,0,0,0,0,0
0,0.49786154484748835,southwest,1,Suit,8870.52,1,0,0,,0,,1,1,1,0,0,0,0,0
1,0.6684393084843954,midwest,1,Suit,11911.12,1,1,1,10217.07,1,1038.0,1,1,1,0,0,0,1,1
1,0.7501675712267557,southeast,1,Suit,10935.5,1,0,0,,0,,1,1,1,0,0,0,0,0
1,0.6056787299315135,midwest,1,Suit,9328.91,1,1,1,7731.09,1,968.0,1,1,1,0,1,0,1,1
1,0.5682205119927723,northeast,1,Suit,9995.52,1,1,1,7107.77,1,1081.0,1,1,1,0,1,0,1,0
0,0.4658750140666962,southeast,1,Suit,6431.21,1,0,0,,0,,1,1,1,0,0,0,0,0
1,0.7688831343650819,southeast,1,Suit,14362.43,1,0,0,,0,,1,1,1,0,0,0,0,0
1,0.7760272609392802,southeast,1,Suit,12356.96,1,0,0,,0,,1,1,1,0,0,0,0,0
1,0.771859874089559,northeast,1,Suit,9540.58,1,0,1,,0,,1,1,1,0,0,0,0,0
1,0.7436679946581523,midwest,1,Suit,9389.37,1,0,0,,0,,1,1,1,0,0,0,0,0
1,0.7629814589818319,northeast,1,Suit,15306.04,1,0,0,,0,,1,1,1,0,0,0,0,0
1,0.5656773947874705,southeast,1,Suit,50586.51,1,0,0,,0,,1,1,1,0,0,0,0,0
0,0.48510377200444543,southwest,1,Suit,5669.9,1,0,0,,0,1156.0,1,1,1,0,0,0,0,0
1,0.6334340999921163,northeast,1,Suit,7819.5,1,0,0,,0,1090.0,1,1,1,0,0,0,0,0
1,0.6995811312993367,midwest,1,Suit,9499.65,1,0,0,,0,839.0,1,1,1,0,1,0,0,0
1,0.7674340672492981,southeast,1,Suit,11087.34,1,0,0,,0,,1,1,1,0,0,0,0,0
1,0.6162942740122477,southeast,1,Suit,7975.39,1,0,0,,0,,1,1,1,0,0,0,0,0
1,0.6450977492332458,midwest,1,Suit,6464.93,1,0,0,,0,,1,1,1,0,1,0,0,0
1,0.6396037754217783,northeast,1,Suit,6701.59,1,0,0,,0,,1,1,1,0,0,0,0,0
1,0.6109576352437336,southwest,1,Suit,11216.42,1,0,0,,0,,1,1,1,0,0,0,0,0
1,0.785351883093516,midwest,1,Suit,18104.57,1,0,0,,0,,1,1,1,0,0,0,0,0
0,0.4366192328929901,southwest,1,Suit,9419.49,1,1,1,8745.7,1,1123.0,1,1,1,0,0,0,1,1
1,0.7006628885269164,southeast,1,Suit,10286.96,1,0,0,,0,,1,1,1,0,0,0,0,0
1,0.747146709362666,midwest,1,Suit,14066.85,1,1,1,12293.18,1,875.0,1,1,1,0,1,0,1,1
1,0.7414837012290955,southeast,0,Suit,10308.02,1,0,0,,0,,1,1,1,0,0,0,0,0
1,0.7727895169258118,southeast,1,Suit,17918.81,1,0,0,,0,,1,1,1,0,0,0,0,0
1,0.7394515104293824,midwest,1,Suit,10623.77,1,0,0,,0,,1,1,1,0,0,0,0,0
1,0.5499635277191798,southwest,1,Suit,18655.19,1,1,1,18751.5,1,1101.0,1,1,1,0,0,0,1,1
1,0.5852121357123057,southwest,1,Suit,28931.3,1,0,0,,0,,1,1,1,0,0,0,0,0
0,0.4993764584859212,southwest,1,Suit,8824.01,1,0,0,,0,,1,1,1,0,0,0,0,0
0,0.45231624420483907,southwest,1,Suit,6482.51,1,1,1,5317.44,1,1134.0,1,1,1,0,0,0,1,1
1,0.646124121427536,midwest,1,Suit,5830.08,1,1,1,4362.01,1,1001.0,1,1,1,0,0,0,1,1
1,0.5022765158017476,southwest,1,Suit,8962.44,1,0,0,,0,,1,1,1,0,0,0,0,0
0,0.4521026329994202,southeast,1,Suit,5784.0,1,0,0,,0,,1,1,1,0,0,0,0,0
1,0.6191782031059264,southwest,1,Suit,15924.17,1,0,0,,0,,1,1,1,0,0,0,0,0
1,0.7273356075286864,southeast,1,Suit,13190.08,1,0,0,,0,923.0,1,1,1,0,1,0,0,0
1,0.5135834157864252,southeast,1,Suit,15837.49,1,1,1,14319.98,1,1015.0,1,1,1,0,0,0,1,1
1,0.6384220097064971,southwest,1,Suit,17203.01,1,0,0,,0,1147.0,1,1,1,0,0,0,0,0
0,0.4573656233946482,southwest,1,Suit,7613.06,1,0,0,,0,,1,1,1,0,0,0,0,0
1,0.7007424408594769,southeast,1,Suit,10520.53,1,0,0,,0,,1,1,1,0,0,0,0,0
1,0.7746456716855368,southeast,1,Suit,14569.13,1,0,0,,0,,1,1,1,0,0,0,0,0
1,0.6616468621889751,southwest,1,Suit,13152.87,1,0,0,,0,,1,1,1,0,0,0,0,0
1,0.6775717527071634,southeast,1,Suit,26139.27,1,0,0,,0,,1,1,1,0,0,0,0,0
1,0.5508449239730835,southeast,1,Suit,7497.81,1,0,0,,0,,1,1,1,0,0,0,0,0
1,0.7084504925409952,southeast,1,Suit,9659.74,1,0,0,,0,,1,1,1,0,0,0,0,0
0,0.46385201867421466,southeast,0,Suit,5884.0,1,0,0,5993.0,1,966.0,1,1,1,0,0,0,1,1
1,0.6953021219571431,northeast,1,Suit,10117.44,1,0,0,,0,,1,1,1,0,1,0,0,0
0,0.43929924742380777,southeast,1,Suit,5718.83,1,0,0,,0,,1,0,1,0,0,0,0,0
0,0.48092191815376284,southeast,1,Suit,5870.64,1,0,0,,0,1013.0,1,1,1,0,1,0,0,0
1,0.7496705551147461,northeast,1,Suit,9549.2,1,0,0,,0,,1,1,1,0,0,0,0,0
1,0.7766991124153138,midwest,0,Suit,12983.13,1,0,0,,0,737.0,1,1,1,0,1,0,0,0
1,0.7429980734189351,northeast,1,Suit,9812.9,1,0,0,,0,,1,1,1,0,0,0,0,0
0,0.4719892636934916,southeast,1,Suit,5432.79,1,0,0,,0,,1,1,1,0,0,0,0,0
1,0.5084097636540731,southwest,1,Suit,8341.14,1,0,0,,0,,1,1,1,0,0,0,0,0
1,0.7050963428815207,southeast,1,Suit,10084.37,1,0,0,,0,,1,1,1,0,0,0,0,0
0,0.4719892636934916,southeast,1,Suit,5408.03,1,0,0,,0,,1,1,1,0,0,0,0,0
0,0.4615850942134857,southwest,1,Suit,23316.7,1,0,0,,0,,1,0,1,0,0,0,0,0
0,0.48965099843343096,northeast,1,Suit,4901.48,1,1,1,4983.48,1,1106.0,1,1,1,0,0,0,1,0
1,0.5178694765567781,southwest,1,Suit,7631.6,1,0,1,,0,,1,1,1,0,0,0,0,0
1,0.6830283158620198,midwest,1,Suit,8119.43,1,0,0,,0,958.0,1,1,1,0,0,0,0,1
1,0.7159317768414816,midwest,1,Suit,16802.99,1,0,0,,0,1118.0,1,1,1,0,0,0,0,0
1,0.7538033340771992,southeast,1,Suit,15713.16,1,0,0,,0,,1,1,1,0,0,0,0,0
