min_payment_within_5_years_of_chargeoff_predicted,obj1_predicted_proba,region,working_age,purchasegroup,chargeoffamt,chargeoffamt_present,judgment_active,acct_post_judgment,judgment_amount,judgment_amount_present,days_between_chargeoff_and_judgment,agency_ever,legal_ever,wage_garnishable_state,bank_account_found,FT_job_found,PT_job_found,verification_completed,contains_judgment_image
0,0.029724952577302857,west,1,Dormant Judgment,7365.27,1,1,1,2600.0,1,35.0,1,0,1,0,0,0,0,0
0,0.029893220464388533,west,1,Dormant Judgment,5399.5,1,1,1,2610.0,1,41.0,1,0,1,0,0,0,0,0
0,0.04156378883123398,west,1,Dormant Judgment,907.4,1,1,1,909.86,1,39.0,1,1,1,1,0,0,1,1
0,0.06154904899497827,southwest,1,Dormant Judgment,2253.11,1,0,0,2289.8,1,183.0,0,0,0,0,0,0,0,0
0,0.04465791356315215,west,1,Dormant Judgment,1237.03,1,1,1,1211.14,1,16.0,0,1,1,0,0,0,1,1
0,0.03373741898437341,west,1,Dormant Judgment,1022.89,1,1,1,1038.57,1,135.0,1,0,1,0,0,0,0,0
0,0.03685142503306269,west,1,Dormant Judgment,577.26,1,0,0,610.17,1,58.0,0,0,1,0,0,0,0,0
0,0.037533113171656925,west,1,Dormant Judgment,1866.22,1,1,1,1784.59,1,122.0,1,0,1,0,0,0,0,0
0,0.1864011185367902,west,1,Dormant Judgment,678.89,1,1,1,543.38,1,14.0,1,0,1,0,0,0,1,1
0,0.07316111337890227,west,1,Dormant Judgment,9863.18,1,1,1,2650.0,1,19.0,0,1,1,0,0,0,1,1
0,0.02813951298594475,west,1,Dormant Judgment,1563.57,1,0,0,1539.07,1,54.0,0,0,1,0,0,0,0,0
0,0.08010597334305446,west,1,Dormant Judgment,3924.08,1,1,1,2610.0,1,38.0,1,1,1,0,1,0,1,1
0,0.09101865505675474,southwest,1,Dormant Judgment,675.91,1,1,1,612.45,1,128.0,1,0,0,0,0,0,1,0
0,0.06837721820672353,west,1,Dormant Judgment,5259.88,1,1,1,2600.0,1,28.0,0,1,1,0,0,0,1,1
0,0.07020694690446058,west,1,Dormant Judgment,1572.09,1,1,1,1372.13,1,12.0,0,1,1,0,1,0,1,0
0,0.029857765883207325,west,1,Dormant Judgment,4497.69,1,1,1,2590.0,1,50.0,1,0,1,0,0,0,0,0
0,0.22603774106502533,west,1,Dormant Judgment,951.01,1,1,1,928.29,1,63.0,0,1,1,0,1,0,1,1
0,0.02530252754998704,west,1,Dormant Judgment,1457.79,1,1,1,1421.34,1,34.0,1,0,1,0,0,0,0,0
0,0.03944659118105968,west,1,Dormant Judgment,1893.66,1,1,1,1892.63,1,50.0,1,1,1,1,0,0,1,1
0,0.04484632002810637,west,1,Dormant Judgment,7122.6,1,1,1,2600.0,1,101.0,1,0,1,0,0,0,0,0
0,0.08075794520974158,west,1,Dormant Judgment,1873.01,1,1,1,1871.15,1,43.0,1,1,1,0,1,0,1,1
0,0.043780988175421955,west,1,Dormant Judgment,630.16,1,1,1,628.28,1,204.0,1,0,1,0,0,0,0,0
0,0.03672152099013328,west,1,Dormant Judgment,1621.52,1,1,1,1660.95,1,71.0,1,0,1,0,0,0,0,0
0,0.11778709111611049,west,1,Dormant Judgment,7101.74,1,1,1,2600.0,1,70.0,1,1,1,0,0,0,1,1
0,0.06032394306858381,west,1,Dormant Judgment,3501.55,1,1,1,2590.0,1,41.0,1,1,1,0,0,0,1,1
0,0.023085040102402365,west,1,Dormant Judgment,548.74,1,1,1,614.81,1,51.0,1,0,1,0,0,0,0,0
0,0.1549672150015831,west,1,Dormant Judgment,2073.97,1,1,1,2042.76,1,4.0,0,1,1,0,1,0,1,0
0,0.18495398195584617,west,1,Dormant Judgment,3403.13,1,1,1,2600.0,1,44.0,1,0,1,0,1,0,1,1
0,0.04577557487289111,west,1,Dormant Judgment,6746.38,1,1,1,2550.0,1,124.0,1,0,1,0,0,0,0,0
0,0.04342067016350726,west,1,Dormant Judgment,607.77,1,0,0,627.8,1,136.0,0,0,1,0,0,0,0,0
0,0.103320533066988,southwest,1,Dormant Judgment,5009.23,1,1,1,4722.47,1,130.0,1,0,0,0,0,0,1,0
0,0.062107307866215704,southwest,1,Dormant Judgment,3266.51,1,1,1,3229.22,1,100.0,1,0,0,0,0,0,0,0
0,0.02685919098245601,west,1,Dormant Judgment,1763.99,1,1,1,1711.01,1,48.0,1,0,1,0,0,0,0,0
0,0.04004254310112446,west,1,Dormant Judgment,7418.99,1,1,1,2600.0,1,24.0,0,0,1,0,0,0,0,0
0,0.028489525304486354,west,1,Dormant Judgment,2893.3,1,1,1,2410.0,1,25.0,0,0,1,0,0,0,0,0
0,0.0640034849445025,west,1,Dormant Judgment,3413.2,1,1,1,2590.0,1,134.0,0,1,1,0,0,0,1,1
0,0.022089926500727112,west,1,Dormant Judgment,596.9,1,1,1,652.64,1,37.0,1,0,1,0,0,0,0,0
0,0.04406332593907912,southwest,1,Dormant Judgment,1160.33,1,1,1,1099.57,1,28.0,1,0,0,0,0,0,1,0
0,0.04502157891541719,west,1,Dormant Judgment,2011.18,1,1,1,1978.76,1,31.0,1,1,1,0,0,0,1,1
0,0.020886904854948322,west,0,Dormant Judgment,883.09,1,1,1,908.32,1,43.0,1,0,1,0,0,0,0,0
0,0.19542982073624932,west,1,Dormant Judgment,1027.0,1,1,1,1085.32,1,25.0,0,1,1,0,1,0,1,1
0,0.08561514665186405,west,1,Dormant Judgment,2959.51,1,1,1,2600.0,1,34.0,1,1,1,0,1,0,1,1
0,0.12046675652265548,west,1,Dormant Judgment,1090.28,1,1,1,1160.96,1,54.0,1,1,1,0,0,1,1,1
0,0.07034222612778346,southwest,1,Dormant Judgment,1629.57,1,1,1,1668.28,1,144.0,1,0,0,0,0,0,0,0
0,0.27641091374556226,west,1,Dormant Judgment,632.59,1,1,1,703.88,1,13.0,1,0,1,0,1,0,1,1
0,0.04196497304240862,west,1,Dormant Judgment,3508.82,1,1,1,2650.0,1,65.0,1,0,1,0,0,0,0,0
0,0.07931724587082864,west,1,Dormant Judgment,10060.34,1,1,1,2600.0,1,70.0,1,0,1,0,0,0,0,0
0,0.2731969170570373,west,1,Dormant Judgment,4735.38,1,1,1,2590.0,1,58.0,0,1,1,0,1,0,1,0
0,0.11494093904892605,west,1,Dormant Judgment,1205.06,1,1,1,1243.28,1,64.0,1,1,1,0,1,0,1,0
0,0.06387655500508846,southwest,1,Dormant Judgment,898.46,1,1,1,837.98,1,158.0,1,0,0,0,0,0,1,0
0,0.03256191493322452,west,1,Dormant Judgment,2827.64,1,1,1,2590.0,1,64.0,1,0,1,0,0,0,0,0
0,0.08595823598901432,west,1,Dormant Judgment,5216.21,1,1,1,2600.0,1,64.0,1,1,1,1,0,0,1,1
0,0.10882627902428309,west,1,Dormant Judgment,1897.24,1,1,1,1860.75,1,41.0,0,1,1,0,1,0,1,0
0,0.07340706183016299,southwest,1,Dormant Judgment,3483.24,1,1,1,3243.9,1,68.0,1,0,0,0,0,0,1,0
0,0.08246635187665621,west,1,Dormant Judgment,1155.86,1,1,1,1143.88,1,41.0,1,1,1,1,0,0,1,1
0,0.0448220507800579,west,1,Dormant Judgment,1459.73,1,1,1,1290.28,1,4.0,0,1,1,0,0,0,1,1
0,0.039608715752760565,west,1,Dormant Judgment,5949.29,1,1,1,2600.0,1,144.0,1,0,1,0,0,0,0,0
0,0.13870591379205385,west,1,Dormant Judgment,2187.53,1,1,1,2107.85,1,134.0,1,1,1,0,0,0,1,0
0,0.09798340694109599,west,1,Dormant Judgment,3503.09,1,1,1,2600.0,1,33.0,1,0,1,0,0,0,1,0
0,0.026763475810488067,west,1,Dormant Judgment,5812.13,1,1,1,2600.0,1,33.0,1,0,1,0,0,0,0,0
0,0.04477285106107592,west,1,Dormant Judgment,1863.19,1,1,1,1852.45,1,33.0,0,1,1,0,0,0,1,1
0,0.03241160763427615,southwest,1,Dormant Judgment,855.56,1,0,0,777.23,1,9.0,0,0,0,0,0,0,0,0
0,0.13562137720982234,southwest,1,Dormant Judgment,5164.41,1,1,1,5036.56,1,100.0,1,0,0,0,0,0,0,0
0,0.09164324908455211,west,1,Dormant Judgment,5829.43,1,1,1,2590.0,1,49.0,1,1,1,1,0,0,1,1
0,0.07572033046682675,west,1,Dormant Judgment,1264.03,1,1,1,1156.49,1,33.0,1,1,1,0,0,0,1,1
0,0.0861927865644296,west,1,Dormant Judgment,5110.42,1,1,1,2650.0,1,29.0,1,1,1,0,0,0,1,1
0,0.07480019616087276,west,1,Dormant Judgment,1241.51,1,1,1,1198.04,1,29.0,0,1,1,0,1,0,1,0
0,0.1725401483376821,west,1,Dormant Judgment,2171.72,1,1,1,2168.0,1,131.0,0,1,1,0,0,0,1,0
0,0.046736085320512454,west,1,Dormant Judgment,1297.11,1,1,1,1251.77,1,37.0,1,1,1,0,0,0,1,1
0,0.05002621715764205,west,1,Dormant Judgment,5539.77,1,1,1,2590.0,1,70.0,1,0,1,0,0,0,0,0
0,0.42344580785433455,west,1,Dormant Judgment,476.13,1,1,1,538.35,1,167.0,1,0,1,0,0,0,1,1
0,0.08953901110092799,west,1,Dormant Judgment,3446.23,1,1,1,2600.0,1,61.0,0,1,1,0,1,0,1,1
0,0.03431734695596,southwest,1,Dormant Judgment,1104.48,1,0,0,1167.05,1,78.0,0,0,0,0,0,0,0,0
0,0.019435490970499812,west,1,Dormant Judgment,712.98,1,1,1,713.85,1,30.0,1,0,1,0,0,0,0,0
0,0.031099430168978866,west,1,Dormant Judgment,989.91,1,0,0,974.83,1,62.0,0,0,1,0,0,0,0,0
0,0.02397287037844459,west,1,Dormant Judgment,651.45,1,1,1,602.11,1,33.0,1,0,1,0,0,0,0,0
0,0.05068728860343495,west,1,Dormant Judgment,487.54,1,1,1,620.29,1,64.0,1,0,1,0,0,0,0,0
0,0.08207656868298849,west,1,Dormant Judgment,4599.59,1,1,1,2590.0,1,39.0,1,1,1,1,0,0,1,1
0,0.10647393184900283,west,1,Dormant Judgment,1266.75,1,1,1,1233.19,1,54.0,1,1,1,1,0,0,1,1
0,0.3443572644392649,southwest,1,Dormant Judgment,7754.28,1,1,1,7592.83,1,83.0,1,0,0,0,0,0,0,0
0,0.08668389344712098,southwest,1,Dormant Judgment,599.84,1,1,1,557.01,1,62.0,1,0,0,0,0,0,1,0
0,0.12992109872897464,west,1,Dormant Judgment,6793.37,1,1,1,2600.0,1,157.0,0,1,1,0,0,0,1,1
0,0.057641352713108066,west,1,Dormant Judgment,6034.98,1,1,1,2600.0,1,29.0,0,1,1,0,0,0,1,1
0,0.022740999981760983,west,1,Dormant Judgment,796.46,1,1,1,773.86,1,49.0,1,0,1,0,0,0,0,0
0,0.049391305741543566,southwest,1,Dormant Judgment,1516.15,1,0,0,1580.74,1,167.0,0,0,0,0,0,0,0,0
0,0.027475745161063964,west,1,Dormant Judgment,596.58,1,1,1,650.71,1,61.0,1,0,1,0,0,0,0,0
0,0.02063903032491604,west,1,Dormant Judgment,702.0,1,1,1,710.59,1,43.0,1,0,1,0,0,0,0,0
0,0.09854541865984599,west,1,Dormant Judgment,2624.52,1,1,1,2608.0,1,14.0,0,1,1,0,1,0,1,1
0,0.06753189873695374,west,1,Dormant Judgment,959.31,1,1,1,947.84,1,121.0,1,1,1,0,0,1,1,0
0,0.14856017181277273,southwest,1,Dormant Judgment,636.65,1,1,1,579.81,1,198.0,1,0,0,0,0,0,1,0
0,0.020254903302217523,west,1,Dormant Judgment,735.67,1,1,1,755.55,1,34.0,1,0,1,0,0,0,0,0
0,0.06270001372198264,west,1,Dormant Judgment,1018.06,1,1,1,999.23,1,136.0,1,1,1,1,0,0,1,1
0,0.23661294519901274,west,0,Dormant Judgment,3716.35,1,1,1,2600.0,1,40.0,1,0,1,0,0,0,1,1
0,0.044289982130130134,west,1,Dormant Judgment,920.93,1,1,1,930.79,1,39.0,1,1,1,1,0,0,1,1
0,0.05584707812592386,southwest,1,Dormant Judgment,1266.72,1,0,0,1393.03,1,198.0,0,0,0,0,0,0,0,0
0,0.03519699501991272,west,1,Dormant Judgment,3187.41,1,1,1,2570.0,1,44.0,1,0,1,0,0,0,0,0
0,0.1009397340218226,southwest,1,Dormant Judgment,1987.36,1,1,1,1986.99,1,121.0,1,0,0,0,0,0,0,0
0,0.09161519013841947,southwest,1,Dormant Judgment,3473.5,1,1,1,3291.5,1,187.0,1,0,0,0,0,0,1,1
0,0.019516747258603574,west,1,Dormant Judgment,849.05,1,1,1,830.38,1,41.0,1,0,1,0,0,0,0,0
0,0.05862919880449771,southwest,0,Dormant Judgment,1348.65,1,1,1,1379.22,1,82.0,1,0,0,0,0,0,0,0
0,0.02834021164911488,west,1,Dormant Judgment,6723.68,1,1,1,2610.0,1,30.0,1,0,1,0,0,0,0,0
0,0.02932066302001476,west,1,Dormant Judgment,1072.18,1,1,1,1048.66,1,43.0,1,0,1,0,0,0,0,0
0,0.09570951710144678,southwest,1,Dormant Judgment,4633.2,1,1,1,4486.44,1,172.0,1,0,0,0,0,0,1,0
0,0.057567926863829305,west,1,Dormant Judgment,3625.74,1,1,1,2600.0,1,38.0,1,1,1,1,0,0,1,1
0,0.03414281842609247,west,0,Dormant Judgment,1106.72,1,1,1,1080.97,1,113.0,1,0,1,0,0,0,0,0
0,0.03698659004767736,west,1,Dormant Judgment,1513.32,1,1,1,1467.87,1,68.0,1,0,1,0,0,0,0,0
0,0.08482824931542078,west,1,Dormant Judgment,1164.7,1,1,1,1159.88,1,41.0,1,1,1,0,0,0,1,1
0,0.05404007559021315,west,1,Dormant Judgment,3641.59,1,1,1,2610.0,1,65.0,1,1,1,1,0,0,1,1
0,0.020044758465761942,west,1,Dormant Judgment,693.52,1,1,1,698.16,1,35.0,1,0,1,0,0,0,0,0
0,0.0413283717042456,southwest,1,Dormant Judgment,576.39,1,0,0,646.42,1,158.0,0,0,0,0,0,0,0,0
0,0.02530565423921992,west,1,Dormant Judgment,511.02,1,1,1,570.59,1,37.0,1,0,1,0,0,0,0,0
0,0.024458599990854663,west,1,Dormant Judgment,738.93,1,1,1,820.13,1,58.0,1,0,1,0,0,0,0,0
0,0.05422450169920921,southwest,1,Dormant Judgment,423.63,1,1,1,500.78,1,55.0,1,0,0,0,0,0,0,0
0,0.03752236738801002,southwest,1,Dormant Judgment,1054.77,1,1,1,979.79,1,62.0,1,0,0,0,0,0,1,0
0,0.14960239187876384,west,1,Dormant Judgment,433.99,1,1,1,513.61,1,19.0,1,0,1,0,0,0,1,1
0,0.024919049906233944,west,1,Dormant Judgment,740.67,1,1,1,733.31,1,15.0,0,0,1,0,0,0,0,0
0,0.034973024293780325,west,1,Dormant Judgment,483.37,1,1,1,574.57,1,58.0,1,0,1,0,0,0,0,0
0,0.03411902696825564,southwest,1,Dormant Judgment,623.83,1,0,0,694.35,1,86.0,0,0,0,0,0,0,0,0
0,0.06531012662748496,west,1,Dormant Judgment,3875.62,1,1,1,2650.0,1,2.0,1,1,1,0,0,0,1,1
0,0.04476554214954376,west,1,Dormant Judgment,449.32,1,1,1,543.98,1,40.0,1,0,1,0,0,0,0,0
0,0.023332081284994876,west,1,Dormant Judgment,1288.68,1,1,1,1258.71,1,38.0,1,0,1,0,0,0,0,0
0,0.04814590588087836,west,1,Dormant Judgment,652.96,1,0,0,634.71,1,142.0,0,0,1,0,0,0,0,0
0,0.0298785309617718,west,1,Dormant Judgment,2973.37,1,1,1,2600.0,1,32.0,1,0,1,0,0,0,0,0
0,0.038933746144175524,west,1,Dormant Judgment,2190.19,1,1,1,2147.16,1,121.0,1,0,1,0,0,0,0,0
0,0.049332980997860425,west,1,Dormant Judgment,8155.77,1,1,1,2500.0,1,39.0,1,0,1,0,0,0,0,0
0,0.08934639831384023,west,1,Dormant Judgment,6581.53,1,1,1,2600.0,1,33.0,1,1,1,0,0,0,1,1
0,0.021729013184085485,west,1,Dormant Judgment,1111.18,1,1,1,1142.07,1,56.0,1,0,1,0,0,0,0,0
0,0.10139303321639696,west,1,Dormant Judgment,4881.92,1,1,1,1600.0,1,144.0,1,1,1,0,0,0,1,1
0,0.03477084153952698,southwest,1,Dormant Judgment,839.01,1,0,0,908.52,1,163.0,0,0,0,0,0,0,0,0
0,0.020342319761402907,west,1,Dormant Judgment,724.37,1,1,1,732.48,1,38.0,1,0,1,0,0,0,0,0
0,0.0296876663963,west,1,Dormant Judgment,920.74,1,1,1,924.69,1,112.0,1,0,1,0,0,0,0,0
0,0.021966832038015124,west,1,Dormant Judgment,751.21,1,1,1,770.72,1,33.0,1,0,1,0,0,0,0,0
0,0.04644288305814067,west,1,Dormant Judgment,2948.86,1,1,1,2600.0,1,15.0,0,1,1,0,0,0,1,1
0,0.07424782856057087,southwest,1,Dormant Judgment,1677.15,1,1,1,1618.09,1,170.0,1,0,0,0,0,0,1,0
0,0.043217467268307996,west,1,Dormant Judgment,3079.55,1,1,1,2600.0,1,161.0,1,0,1,0,0,0,0,0
0,0.049479985515276576,west,1,Dormant Judgment,9671.99,1,1,1,2600.0,1,51.0,1,0,1,0,0,0,0,0
0,0.06979691756268343,west,1,Dormant Judgment,491.2,1,1,1,514.74,1,91.0,1,0,1,0,0,0,0,0
0,0.09264153419062496,southwest,1,Dormant Judgment,3809.02,1,1,1,3633.49,1,87.0,1,0,0,0,0,0,1,0
0,0.056490429612497485,west,1,Dormant Judgment,4192.54,1,1,1,2300.0,1,22.0,0,1,1,0,0,0,1,1
0,0.04220755790981154,southwest,1,Dormant Judgment,806.37,1,0,0,928.72,1,159.0,0,0,0,0,0,0,0,0
0,0.038995477835337314,west,1,Dormant Judgment,1783.16,1,1,1,1763.94,1,40.0,1,1,1,1,0,0,1,1
0,0.02513239703451594,west,1,Dormant Judgment,742.25,1,1,1,891.02,1,31.0,1,0,1,0,0,0,0,0
0,0.24877006944020588,west,0,Dormant Judgment,2756.09,1,1,1,2600.0,1,61.0,1,0,1,0,0,0,1,1
0,0.07981795683999857,west,1,Dormant Judgment,2887.38,1,1,1,2600.0,1,106.0,1,1,1,0,0,0,1,1
0,0.2823005004326502,west,1,Dormant Judgment,945.75,1,1,1,917.0,1,127.0,0,1,1,0,1,0,1,1
0,0.0518615371187528,west,1,Dormant Judgment,2326.85,1,1,1,2265.68,1,143.0,1,0,1,0,0,0,0,0
0,0.047010810698072114,west,1,Dormant Judgment,498.01,1,1,1,530.62,1,152.0,1,0,1,0,0,0,0,0
0,0.08699681775768597,west,1,Dormant Judgment,4396.51,1,1,1,2461.0,1,28.0,1,1,1,0,0,0,1,1
0,0.07210016266008219,west,1,Dormant Judgment,3508.3,1,1,1,2460.0,1,24.0,0,1,1,1,0,0,1,0
0,0.05655809910098711,west,1,Dormant Judgment,3599.94,1,1,1,2600.0,1,106.0,1,0,1,0,0,0,0,0
0,0.03754268561800321,west,1,Dormant Judgment,718.1,1,1,1,711.97,1,106.0,1,0,1,0,0,0,0,0
0,0.03491193888088067,west,1,Dormant Judgment,740.68,1,1,1,753.88,1,164.0,1,0,1,0,0,0,0,0
0,0.17107479971647263,west,1,Dormant Judgment,4064.54,1,1,1,2600.0,1,120.0,0,1,1,1,1,0,1,0
0,0.04799539862821499,southwest,1,Dormant Judgment,1677.16,1,0,0,1738.15,1,141.0,0,0,0,0,0,0,0,0
0,0.038057231033841774,west,1,Dormant Judgment,746.05,1,1,1,721.97,1,91.0,1,0,1,0,0,0,0,0
0,0.07778218019008637,west,1,Dormant Judgment,2676.84,1,1,1,2600.0,1,127.0,0,1,1,0,0,0,1,1
0,0.042082354333251706,west,1,Dormant Judgment,707.74,1,1,1,656.63,1,95.0,1,0,1,0,0,0,0,0
0,0.036757659318546465,west,1,Dormant Judgment,1034.98,1,1,1,1039.3,1,120.0,1,0,1,0,0,0,0,0
0,0.04410866800074775,west,1,Dormant Judgment,701.47,1,0,0,688.93,1,129.0,0,0,1,0,0,0,0,0
0,0.019666618046661217,west,1,Dormant Judgment,1006.5,1,1,1,1004.46,1,49.0,1,0,1,0,0,0,0,0
0,0.159288199365139,west,1,Dormant Judgment,1920.16,1,1,1,1819.99,1,96.0,0,1,1,0,1,0,1,0
0,0.08495584961771965,west,1,Dormant Judgment,3323.92,1,1,1,2600.0,1,103.0,0,1,1,0,0,0,1,1
0,0.1808747993608316,west,1,Dormant Judgment,10238.76,1,1,1,2609.5,1,110.0,1,1,1,1,0,0,1,1
0,0.045010383735100426,west,1,Dormant Judgment,6450.49,1,1,1,2650.0,1,103.0,1,0,1,0,0,0,0,0
0,0.0555225822130839,west,1,Dormant Judgment,8451.04,1,1,1,2600.0,1,108.0,1,0,1,0,0,0,0,0
0,0.13030822982390722,west,1,Dormant Judgment,1092.97,1,1,1,1095.5,1,143.0,1,0,1,0,0,0,1,0
0,0.046234723677237834,southwest,1,Dormant Judgment,697.05,1,1,1,746.34,1,91.0,1,0,0,0,0,0,0,0
0,0.06407414155701795,west,1,Dormant Judgment,729.82,1,1,1,568.58,1,143.0,1,0,1,0,0,0,0,0
0,0.06163655105233192,west,1,Dormant Judgment,3280.04,1,1,1,2650.0,1,103.0,1,0,1,0,0,0,0,0
0,0.03907059567670027,west,1,Dormant Judgment,4767.93,1,1,1,2650.0,1,66.0,1,0,1,0,0,0,0,0
0,0.04643502434094746,southwest,1,Dormant Judgment,1253.27,1,1,1,1275.49,1,87.0,1,0,0,0,0,0,0,0
0,0.05364917978147665,west,1,Dormant Judgment,3033.08,1,1,1,2590.0,1,71.0,1,0,1,0,0,0,0,0
0,0.06060981893291076,west,1,Dormant Judgment,5854.59,1,1,1,2650.0,1,20.0,0,1,1,0,0,0,1,1
0,0.07669936148325603,southwest,1,Dormant Judgment,2642.77,1,1,1,2097.42,1,110.0,1,0,0,0,0,0,1,0
0,0.11302659408251443,west,1,Dormant Judgment,5515.05,1,1,1,2550.0,1,137.0,1,1,1,1,0,0,1,1
0,0.029128298660119376,west,1,Dormant Judgment,3958.93,1,1,1,2600.0,1,39.0,1,0,1,0,0,0,0,0
0,0.041072021673123044,west,1,Dormant Judgment,7299.76,1,1,1,2650.0,1,99.0,1,0,1,0,0,0,0,0
0,0.02729746598315736,west,1,Dormant Judgment,2417.96,1,1,1,2414.74,1,23.0,0,0,1,0,0,0,0,0
0,0.02667649143065015,west,1,Dormant Judgment,862.55,1,0,0,864.98,1,37.0,0,0,1,0,0,0,0,0
0,0.12565605534116428,west,1,Dormant Judgment,1199.07,1,1,1,1174.07,1,36.0,0,1,1,0,1,0,1,0
0,0.3903567100763321,west,0,Dormant Judgment,707.35,1,1,1,719.94,1,130.0,1,0,1,0,0,0,1,1
0,0.2147003312309583,west,1,Dormant Judgment,2751.64,1,1,1,2500.0,1,108.0,1,0,1,0,0,0,1,0
0,0.02177829740103334,west,1,Dormant Judgment,711.39,1,1,1,709.58,1,49.0,1,0,1,0,0,0,0,0
0,0.0792622825105985,west,1,Dormant Judgment,4209.01,1,1,1,2600.0,1,180.0,1,1,1,1,0,0,1,1
0,0.020890038289750616,west,1,Dormant Judgment,861.12,1,1,1,851.87,1,43.0,1,0,1,0,0,0,0,0
0,0.030786004165808362,west,1,Dormant Judgment,786.39,1,1,1,775.62,1,78.0,1,0,1,0,0,0,0,0
0,0.06980979617436728,west,1,Dormant Judgment,1106.12,1,1,1,1115.28,1,50.0,1,1,1,1,0,0,1,1
0,0.032552955641100806,west,1,Dormant Judgment,731.03,1,1,1,737.36,1,111.0,1,0,1,0,0,0,0,0
1,0.5377502286434174,midwest,1,Suit,5841.42,1,1,1,5841.42,1,874.0,1,1,1,1,0,0,1,1
1,0.6158943393230437,midwest,1,Suit,6193.08,1,0,0,,0,,1,1,1,0,0,0,0,0
1,0.6436385550498962,midwest,1,Suit,10809.91,1,0,0,,0,777.0,1,1,1,0,1,0,0,0
1,0.6955793080329895,southeast,1,Suit,9525.39,1,0,0,,0,,1,1,1,0,0,0,0,0
1,0.6212988945643106,southeast,1,Suit,8264.9,1,0,0,,0,,1,1,1,0,0,0,0,0
1,0.6348237495422362,midwest,1,Suit,6011.56,1,0,1,6010.56,1,774.0,1,1,1,0,1,0,1,1
1,0.6382810087203978,southwest,1,Suit,11448.14,1,1,1,11880.62,1,823.0,1,1,1,0,0,0,1,1
1,0.5500105754534403,midwest,1,Suit,4017.17,1,0,0,,0,768.0,1,1,1,0,1,0,0,0
0,0.46031325475374857,southeast,1,Suit,4431.79,1,0,0,,0,,1,1,1,0,0,0,0,0
1,0.7742845522562664,southeast,1,Suit,12469.83,1,0,0,,0,,1,1,1,0,0,0,0,0
0,0.4450456762313843,southeast,1,Suit,6172.8,1,0,0,,0,,1,1,1,0,0,0,0,0
1,0.6051714871724447,midwest,1,Suit,5967.42,1,0,0,,0,,1,1,1,0,0,0,0,0
1,0.7196585443814596,midwest,1,Suit,9261.6,1,0,0,,0,,1,1,1,0,0,0,0,0
0,0.4396748904387156,southwest,1,Suit,6505.48,1,0,0,,0,,1,1,1,0,0,0,0,0
0,0.43257995049158726,northeast,1,Suit,6758.31,1,1,1,7002.48,1,1088.0,1,1,1,0,1,0,1,0
1,0.7296986422538757,midwest,1,Suit,63861.88,1,0,0,,0,,1,1,1,0,0,0,0,0
1,0.7326525762875874,northeast,1,Suit,8244.82,1,0,0,,0,,1,1,1,0,0,0,0,0
0,0.4446873741149902,southeast,1,Suit,5608.88,1,0,0,,0,,1,1,1,0,0,0,0,0
1,0.7454455879529317,midwest,1,Suit,8499.2,1,0,0,,0,,1,1,1,0,0,0,0,0
1,0.7482749473253887,midwest,1,Suit,15248.23,1,1,1,15248.23,1,802.0,1,1,1,0,0,0,1,1
1,0.7372830489476522,northeast,1,Suit,18295.39,1,0,0,,0,,1,1,1,0,0,0,0,0
1,0.645005919456482,southeast,1,Suit,9242.56,1,0,0,,0,,1,1,1,0,0,0,0,0
1,0.5892932214736938,midwest,1,Suit,9596.03,1,1,1,9596.03,1,698.0,1,1,1,0,1,0,1,1
1,0.5140002528031667,midwest,1,Suit,5159.92,1,0,1,7744.88,1,972.0,1,1,1,0,1,0,1,1
1,0.7536006469726563,northeast,1,Suit,7987.41,1,0,1,,0,,1,1,1,0,0,0,0,0
0,0.17110635761419932,midwest,1,Dormant Judgment,1482.27,1,0,1,1482.27,1,417.0,1,1,1,0,1,0,1,0
1,0.7486628417968749,midwest,1,Suit,17025.29,1,0,0,,0,,1,1,1,0,1,0,0,0
1,0.7307255215644836,midwest,1,Suit,8002.47,1,0,0,,0,,1,1,1,0,0,0,0,0
0,0.47975327507654825,midwest,1,Suit,4521.88,1,1,1,4521.88,1,873.0,1,1,1,0,0,0,1,1
1,0.5985529147783915,midwest,1,Suit,5955.95,1,0,0,,0,,1,1,1,0,0,0,0,0
1,0.5993657398223876,southwest,1,Suit,11821.51,1,0,0,,0,,1,1,1,0,0,0,0,0
1,0.6518300806681315,southwest,1,Suit,19046.38,1,0,0,,0,,1,1,1,0,0,0,0,0
0,0.4554117226600647,southeast,1,Suit,6570.44,1,0,0,,0,,1,1,1,0,0,0,0,0
1,0.737108017285665,southeast,1,Suit,11272.69,1,0,1,,0,,1,1,1,0,0,0,0,0
1,0.5133487244447072,southwest,1,Suit,11791.73,1,0,0,,0,,1,1,0,0,0,0,0,0
1,0.6329826299349467,northeast,1,Suit,4578.67,1,0,0,,0,,1,1,1,0,0,0,0,0
0,0.4510144107341766,southwest,1,Suit,7543.16,1,0,0,,0,,1,1,1,0,0,0,0,0
0,0.4673030060132344,southeast,1,Suit,4205.53,1,0,0,,0,,1,1,1,0,0,0,0,0
1,0.6242825347582499,northeast,1,Suit,4206.8,1,0,0,,0,,1,1,1,0,0,0,0,0
1,0.521666290005048,southeast,1,Suit,11777.06,1,1,1,12147.06,1,915.0,1,1,1,0,1,0,1,1
0,0.4401412833531697,southeast,1,Suit,4141.22,1,0,0,,0,,1,1,1,0,0,0,0,0
